Año,Mes,Día,Hora,Día de la semana,Temperatura (°C),Punto de rocío (°C),Humedad (%),Dirección del viento,Velocidad del viento (m/s),Ráfaga de viento (m/s),Presión (hPa),Precipitación (mm),Condición meteorológica
2014,1,7,9,1,8.333333333333334,-3.888888888888889,42.0,ESE,1.34112,0.0,979.3439880000001,0.0,Mayormente_nublado
2014,1,7,10,1,13.88888888888889,-7.222222222222222,23.0,ESE,3.57632,0.0,979.682627,0.0,Parcialmente_nublado
2014,1,7,11,1,16.11111111111111,-8.88888888888889,17.0,ESE,3.57632,0.0,979.682627,0.0,Parcialmente_nublado
2014,1,7,12,1,17.77777777777778,-10.555555555555555,14.0,E,4.02336,0.0,978.66671,0.0,Mayormente_nublado
2014,1,7,13,1,18.88888888888889,-10.555555555555555,13.0,ESE,4.02336,0.0,976.296237,0.0,Mayormente_nublado
2014,1,7,14,1,19.444444444444443,-12.222222222222221,11.0,NE,2.2352,0.0,975.9575980000001,0.0,Mayormente_nublado
2014,1,7,15,1,20.0,-12.777777777777779,10.0,N,1.34112,0.0,975.618959,0.0,Mayormente_nublado
2014,1,7,16,1,20.0,-12.777777777777779,10.0,CALMA,0.0,0.0,975.618959,0.0,Mayormente_nublado
2014,1,7,17,1,19.444444444444443,-10.0,13.0,NO,2.68224,0.0,975.618959,0.0,Mayormente_nublado
2014,1,7,18,1,18.333333333333332,-8.88888888888889,15.0,N,1.34112,0.0,974.941681,0.0,Mayormente_nublado
2014,1,7,19,1,17.77777777777778,-7.777777777777778,17.0,NO,2.2352,0.0,975.618959,0.0,Mayormente_nublado
2014,1,7,20,1,16.11111111111111,-7.222222222222222,20.0,CALMA,0.0,0.0,975.9575980000001,0.0,Mayormente_nublado
2014,1,7,21,1,15.555555555555555,-6.111111111111111,22.0,CALMA,0.0,0.0,975.9575980000001,0.0,Mayormente_nublado
2014,1,7,22,1,13.88888888888889,-4.444444444444445,28.0,CALMA,0.0,0.0,975.9575980000001,0.0,Parcialmente_nublado
2014,1,7,23,1,12.777777777777779,-2.7777777777777777,34.0,CALMA,0.0,0.0,975.9575980000001,0.0,Mayormente_nublado
2014,1,8,0,2,12.777777777777779,-2.2222222222222223,35.0,CALMA,0.0,0.0,975.9575980000001,0.0,Mayormente_nublado
2014,1,8,1,2,11.11111111111111,-1.6666666666666667,41.0,CALMA,0.0,0.0,975.618959,0.0,Parcialmente_nublado
2014,1,8,2,2,10.555555555555555,-2.2222222222222223,41.0,ESE,2.2352,0.0,975.9575980000001,0.0,Despejado
2014,1,8,3,2,10.0,-2.2222222222222223,43.0,E,1.34112,0.0,975.618959,0.0,Despejado
2014,1,8,4,2,8.333333333333334,-2.7777777777777777,46.0,ESE,2.2352,0.0,975.9575980000001,0.0,Despejado
2014,1,8,5,2,8.333333333333334,-2.7777777777777777,46.0,E,2.2352,0.0,975.618959,0.0,Despejado
2014,1,8,6,2,6.666666666666667,-2.2222222222222223,53.0,ESE,1.34112,0.0,975.618959,0.0,Despejado
2014,1,8,7,2,8.333333333333334,-3.888888888888889,42.0,ENE,3.12928,0.0,976.296237,0.0,Mayormente_nublado
2014,1,8,8,2,7.777777777777778,-3.3333333333333335,46.0,ENE,1.34112,0.0,976.973515,0.0,Parcialmente_nublado
2014,1,8,9,2,8.333333333333334,-2.7777777777777777,46.0,ESE,2.2352,0.0,977.312154,0.0,Despejado
2014,1,8,10,2,11.666666666666666,-2.7777777777777777,37.0,E,1.34112,0.0,977.989432,0.0,Despejado
2014,1,8,11,2,15.0,-4.444444444444445,26.0,E,2.2352,0.0,977.989432,0.0,Despejado
2014,1,8,12,2,17.77777777777778,-6.111111111111111,19.0,E,3.12928,0.0,976.973515,0.0,Despejado
2014,1,8,13,2,18.333333333333332,-7.222222222222222,17.0,VAR,1.34112,0.0,975.9575980000001,0.0,Parcialmente_nublado
2014,1,8,14,2,20.0,-7.777777777777778,15.0,CALMA,0.0,0.0,974.941681,0.0,Mayormente_nublado
2014,1,8,15,2,20.0,-7.777777777777778,15.0,VAR,2.2352,0.0,974.941681,0.0,Mayormente_nublado
2014,1,8,16,2,20.0,-8.88888888888889,14.0,VAR,1.34112,0.0,974.941681,0.0,Mayormente_nublado
2014,1,8,17,2,20.0,-8.333333333333334,14.0,SO,1.34112,0.0,974.6030420000001,0.0,Parcialmente_nublado
2014,1,8,18,2,18.333333333333332,-7.222222222222222,17.0,CALMA,0.0,0.0,974.941681,0.0,Parcialmente_nublado
2014,1,8,19,2,15.555555555555555,-3.888888888888889,26.0,SO,1.34112,0.0,975.618959,0.0,Despejado
2014,1,8,20,2,13.88888888888889,-3.3333333333333335,30.0,CALMA,0.0,0.0,976.296237,0.0,Despejado
2014,1,8,21,2,12.777777777777779,-3.3333333333333335,33.0,CALMA,0.0,0.0,976.6348760000001,0.0,Despejado
2014,1,8,22,2,12.222222222222221,-2.2222222222222223,37.0,E,3.12928,0.0,976.296237,0.0,Despejado
2014,1,8,23,2,10.555555555555555,-2.2222222222222223,41.0,E,4.02336,0.0,976.296237,0.0,Despejado
2014,1,9,0,3,10.0,-2.2222222222222223,43.0,ESE,2.68224,0.0,976.6348760000001,0.0,Despejado
2014,1,9,1,3,9.444444444444445,-2.2222222222222223,44.0,E,2.68224,0.0,976.296237,0.0,Despejado
2014,1,9,2,3,8.88888888888889,-2.7777777777777777,44.0,E,2.2352,0.0,976.296237,0.0,Despejado
2014,1,9,3,3,7.777777777777778,-2.2222222222222223,50.0,SE,2.68224,0.0,976.6348760000001,0.0,Despejado
2014,1,9,4,3,7.777777777777778,-2.7777777777777777,47.0,ESE,2.2352,0.0,976.296237,0.0,Despejado
2014,1,9,5,3,7.777777777777778,-2.2222222222222223,50.0,E,2.68224,0.0,975.9575980000001,0.0,Despejado
2014,1,9,6,3,8.333333333333334,-2.7777777777777777,46.0,ESE,2.68224,0.0,975.618959,0.0,Mayormente_nublado
2014,1,9,7,3,7.777777777777778,-2.7777777777777777,47.0,ESE,4.4704,0.0,975.618959,0.0,Mayormente_nublado
2014,1,9,8,3,7.222222222222222,-2.7777777777777777,49.0,E,2.68224,0.0,976.6348760000001,0.0,Mayormente_nublado
2014,1,9,9,3,8.88888888888889,-3.888888888888889,41.0,ESE,2.2352,0.0,976.6348760000001,0.0,Mayormente_nublado
2014,1,9,10,3,10.555555555555555,-3.3333333333333335,38.0,SE,3.12928,0.0,976.973515,0.0,Mayormente_nublado
2014,1,9,11,3,13.333333333333334,-3.888888888888889,30.0,E,2.68224,0.0,976.973515,0.0,Mayormente_nublado
2014,1,9,12,3,13.88888888888889,-3.3333333333333335,30.0,ESE,1.34112,0.0,975.9575980000001,0.0,Parcialmente_nublado
2014,1,9,13,3,16.11111111111111,-4.444444444444445,24.0,CALMA,0.0,0.0,974.6030420000001,0.0,Despejado
2014,1,9,14,3,17.77777777777778,-6.111111111111111,19.0,CALMA,0.0,0.0,973.587125,0.0,Despejado
2014,1,9,15,3,19.444444444444443,-6.111111111111111,17.0,SSO,1.34112,0.0,972.909847,0.0,Despejado
2014,1,9,16,3,,,,,,,,,
2014,1,9,17,3,19.444444444444443,-6.111111111111111,17.0,SSO,1.34112,0.0,972.571208,0.0,Mayormente_nublado
2014,1,9,18,3,17.77777777777778,-5.555555555555555,20.0,SO,1.34112,0.0,972.909847,0.0,Despejado
2014,1,9,19,3,15.0,-2.2222222222222223,31.0,S,1.34112,0.0,972.909847,0.0,Despejado
2014,1,9,20,3,15.0,-3.3333333333333335,28.0,CALMA,0.0,0.0,973.587125,0.0,Despejado
2014,1,9,21,3,13.88888888888889,-3.3333333333333335,30.0,CALMA,0.0,0.0,974.6030420000001,0.0,Despejado
2014,1,9,22,3,12.222222222222221,-2.2222222222222223,37.0,CALMA,0.0,0.0,974.941681,0.0,Despejado
2014,1,9,23,3,10.555555555555555,-1.1111111111111112,44.0,ESE,1.34112,0.0,974.941681,0.0,Despejado
2014,1,10,0,4,10.0,-1.6666666666666667,44.0,E,3.12928,0.0,974.941681,0.0,Despejado
2014,1,10,1,4,8.333333333333334,-1.1111111111111112,52.0,ESE,1.34112,0.0,975.618959,0.0,Despejado
2014,1,10,2,4,8.88888888888889,-1.6666666666666667,48.0,ESE,3.12928,0.0,975.618959,0.0,Despejado
2014,1,10,3,4,7.777777777777778,-1.6666666666666667,51.0,ESE,2.68224,0.0,975.2803200000001,0.0,Despejado
