Año,Mes,Día,Hora,Día de la semana,Electricidad (kW),Fotovoltaica (kW),Refrigeración (kW),Calefacción (kWh),Energía total (kWh),Emisión (kg CO₂)
2014,1,11,20,5,18773.77,0.82,11566.67443,741.46963,31080.17955,19380.0
2014,1,11,21,5,18408.72,0.82,10123.36797,767.8460200000001,29301.238580000005,18270.0
2014,1,11,22,5,18055.93,0.81,9098.092129999999,782.4995700000001,27935.527720000002,17420.0
2014,1,11,23,5,17935.88,0.84,8159.22898,785.4302800000002,26880.472120000002,16770.0
2014,1,12,0,6,18935.49,1.37,9048.467260000001,826.46022,28808.8793,17970.0
2014,1,12,1,6,18759.72,2.12,8532.41785,826.46022,28117.231740000003,17540.0
2014,1,12,2,6,18674.1,5.48,8296.216129999999,849.9059000000001,27821.230030000006,17350.0
2014,1,12,3,6,18601.02,10.72,8979.14719,849.9059000000001,28427.887000000002,17730.0
2014,1,12,4,6,18004.77,9.52,7510.16663,867.4901600000001,26382.25142,16450.0
2014,1,12,5,6,17770.25,6.79,6933.730329999999,905.5893900000001,25608.543980000002,15970.0
2014,1,12,6,6,18208.67,4.17,7165.535800000001,1028.67921,26399.83568,16470.0
2014,1,12,7,6,18611.04,9.27,7405.92275,1113.6698000000001,27132.51318,16920.0
2014,1,12,8,6,18237.48,390.04,7650.319079999999,1081.43199,26968.39342,16820.0
2014,1,12,9,6,18363.91,3226.07,7885.008489999999,1060.91702,27308.355780000005,17030.0
2014,1,12,10,6,18771.19,7745.92,8712.98063,999.3721100000001,28483.570490000002,17770.0
2014,1,12,11,6,19145.03,9060.99,11058.92514,870.4208700000001,31074.318130000003,19380.0
2014,1,12,12,6,19684.17,10421.41,12723.486069999999,729.7467900000001,33137.53797,20670.0
2014,1,12,13,6,19579.65,10226.19,13802.536839999999,694.5782700000001,34075.365170000005,21250.0
2014,1,12,14,6,19411.6,8745.35,14891.11868,685.78614,34986.81598,21820.0
2014,1,12,15,6,19285.92,4911.26,14821.306229999998,676.9940100000001,34784.596990000005,21690.0
2014,1,12,16,6,19258.74,1523.54,14708.164340000001,682.8554300000001,34649.78433,21610.0
2014,1,12,17,6,19094.58,258.81,14213.2521,694.5782700000001,34002.097420000006,21210.0
2014,1,12,18,6,19741.16,4.7,13463.884909999999,668.20188,33873.14618,21130.0
2014,1,12,19,6,19657.13,0.8,12797.80028,685.78614,33140.468680000005,20670.0
2014,1,12,20,6,19415.06,0.86,11546.73304,756.12318,31719.074330000003,19780.0
2014,1,12,21,6,19081.39,0.91,9239.01832,808.87596,29128.32669,18170.0
2014,1,12,22,6,18557.33,0.98,8757.25966,797.1531200000002,28111.37032,17530.0
2014,1,12,23,6,19331.81,0.93,8607.822329999999,738.5389200000001,28676.99735,17890.0
2014,1,13,0,0,19200.64,1.11,8791.55041,779.5688600000001,28770.780070000004,17940.0
2014,1,13,1,0,19047.28,0.81,7906.14566,826.46022,27780.200090000006,17330.0
2014,1,13,2,0,18923.5,2.7,8594.63358,770.77673,28287.21292,17640.0
2014,1,13,3,0,18927.26,8.23,8749.83879,852.8366100000001,28530.46185,17790.0
2014,1,13,4,0,19532.27,9.21,8324.24662,879.2130000000001,28735.61155,17920.0
